Median Household Income by State by Age of Householder,,,,,,,,
State,Under 25 Years,Margin Of Error,25 to 44 Years,Margin Of Error,45 to 64 Years,Margin Of Error,65 Years and Over,Margin Of Error
Alabama,"$22,553 ",+/- $777,"$50,585 ",+/- $467,"$55,555 ",+/- $555,"$36,595 ",+/- $314
Alaska,"$43,594 ","+/- $1,467","$77,960 ","+/- $1,655","$88,734 ","+/- $2,116","$59,041 ","+/- $1,751"
Arizona,"$28,716 ",+/- $677,"$57,910 ",+/- $471,"$63,626 ",+/- $498,"$43,351 ",+/- $307
Arkansas,"$25,801 ",+/- $920,"$49,133 ",+/- $726,"$51,366 ",+/- $577,"$34,467 ",+/- $446
California,"$32,469 ",+/- $415,"$71,124 ",+/- $329,"$80,269 ",+/- $337,"$49,126 ",+/- $228
Colorado,"$32,269 ",+/- $756,"$70,695 ",+/- $671,"$79,104 ",+/- $485,"$48,047 ",+/- $455
Connecticut,"$34,055 ","+/- $2,155","$77,166 ","+/- $1,010","$92,683 ",+/- $899,"$50,211 ",+/- $541
Delaware,"$32,110 ","+/- $2,136","$65,981 ","+/- $1,294","$77,562 ","+/- $1,343","$48,084 ",+/- $877
District of Columbia,"$32,149 ","+/- $3,174","$92,441 ","+/- $1,715","$78,333 ","+/- $2,607","$52,254 ","+/- $2,154"
Florida,"$27,918 ",+/- $528,"$54,178 ",+/- $324,"$60,019 ",+/- $301,"$40,975 ",+/- $186
Georgia,"$26,686 ",+/- $716,"$55,233 ",+/- $415,"$63,724 ",+/- $497,"$39,938 ",+/- $374
Hawaii,"$39,122 ","+/- $1,944","$76,799 ","+/- $1,258","$86,990 ","+/- $1,520","$62,524 ","+/- $1,268"
Idaho,"$25,216 ","+/- $1,168","$55,480 ",+/- $917,"$61,924 ",+/- $993,"$39,243 ",+/- $714
Illinois,"$27,183 ",+/- $559,"$66,557 ",+/- $473,"$75,329 ",+/- $465,"$42,020 ",+/- $235
Indiana,"$26,778 ",+/- $610,"$57,346 ",+/- $576,"$63,544 ",+/- $442,"$39,104 ",+/- $267
Iowa,"$30,207 ",+/- $660,"$64,170 ",+/- $585,"$69,969 ",+/- $620,"$39,749 ",+/- $353
Kansas,"$29,202 ",+/- $739,"$61,001 ",+/- $599,"$68,489 ",+/- $684,"$41,198 ",+/- $423
Kentucky,"$26,378 ",+/- $753,"$53,524 ",+/- $521,"$54,064 ",+/- $581,"$35,282 ",+/- $364
Louisiana,"$23,841 ","+/- $1,044","$52,447 ",+/- $558,"$55,384 ",+/- $735,"$34,036 ",+/- $408
Maine,"$31,086 ","+/- $1,439","$60,550 ",+/- $965,"$63,433 ",+/- $858,"$38,015 ",+/- $542
Maryland,"$37,845 ","+/- $1,467","$82,040 ",+/- $646,"$95,503 ",+/- $642,"$54,844 ",+/- $602
Massachusetts,"$35,425 ","+/- $1,386","$83,862 ",+/- $625,"$92,096 ",+/- $732,"$45,193 ",+/- $425
Michigan,"$26,823 ",+/- $631,"$57,816 ",+/- $413,"$64,259 ",+/- $341,"$40,784 ",+/- $201
Minnesota,"$33,928 ","+/- $1,178","$74,283 ",+/- $521,"$80,491 ",+/- $539,"$43,259 ",+/- $379
Mississippi,"$23,579 ","+/- $1,617","$46,237 ",+/- $625,"$48,953 ",+/- $749,"$32,611 ",+/- $532
Missouri,"$26,540 ",+/- $750,"$57,773 ",+/- $568,"$61,834 ",+/- $400,"$38,492 ",+/- $271
Montana,"$27,528 ","+/- $1,201","$58,070 ","+/- $1,125","$60,149 ",+/- $917,"$38,701 ",+/- $677
Nebraska,"$29,996 ",+/- $821,"$62,472 ",+/- $752,"$70,843 ",+/- $744,"$40,466 ",+/- $566
Nevada,"$34,452 ","+/- $1,416","$57,660 ",+/- $673,"$63,907 ",+/- $659,"$43,953 ",+/- $607
