California,Estimate,Margin of Error
Total,12888128,18518
"Less than $10,000",694945,"5,695"
"$10,000 to $14,999",604666,"4,671"
"$15,000 to $19,999",536203,"4,622"
"$20,000 to $24,999",568994,"4,888"
"$25,000 to $29,999",523563,"5,441"
"$30,000 to $34,999",539988,"4,625"
"$35,000 to $39,999",500571,"5,022"
"$40,000 to $44,999",509113,"5,289"
"$45,000 to $49,999",456152,"4,342"
"$50,000 to $59,999",895758,"6,671"
"$60,000 to $74,999",1199773,"7,298"
"$75,000 to $99,999",1568843,"8,228"
"$100,000 to $124,999",1206637,"7,785"
"$125,000 to $149,999",818690,"5,903"
"$150,000 to $199,999",1008388,"7,237"
"$200,000 or more",1255844,"8,241"
