United States,Estimate,Margin of Error,,
Total,"118,825,921",229026,,
"Less than $10,000","7,942,251",17662,,
"$10,000 to $14,999","5,768,114",16409,,
"$15,000 to $19,999","5,727,180",16801,,
"$20,000 to $24,999","5,910,725",17864,,
"$25,000 to $29,999","5,619,002",16113,,
"$30,000 to $34,999","5,711,286",15891,,
"$35,000 to $39,999","5,332,778",16488,,
"$40,000 to $44,999","5,354,520",15415,,
"$45,000 to $49,999","4,725,195",16890,,
"$50,000 to $59,999","9,181,800",20965,,
"$60,000 to $74,999","11,818,514",30723,,
"$75,000 to $99,999","14,636,046",49159,,
"$100,000 to $124,999","10,273,788",47842,,
"$125,000 to $149,999","6,428,069",37952,,
"$150,000 to $199,999","6,931,136",37236,,
"$200,000 or more","7,465,517",42206,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
